STATE,FIPSTATE,SC,CD,REDIST,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRUC,CVLLBRFR,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
CA,6,71,37,0,16,39735,328500,193266,55304,1,0,12095,242189,0,126281,4009,8432,8518,99.3388745,185755,33213,21892142,72,19723,61608,0,28583,0,0,1789,0,7947.09722,572191,89608982,0,5058,14565,26170,25.4,572191,0,2856770,40351
CA,6,71,38,0,16,67287,328500,44223,37370,1,1,16108,293538,0,78840,2206,8143,18702,99.3388745,123317,37972,21892142,74,22143,59548,0,39810,3,1,9617,0,7738.86487,572676,89608982,0,7686,15246,16122,25.4,572676,716,2856770,60868
CA,6,71,39,0,16,53299,328500,14549,37124,1,1,18691,317414,0,88030,3391,5397,23231,99.3388745,125308,34880,21892142,104,21387,68491,0,50777,0,0,1140,0,5518.66346,573941,47559089,0,8096,12176,13964,25.4,573918,0,2856770,68732
CA,6,71,40,0,16,67885,328500,31340,28998,0,0,23995,239718,0,99618,4110,13986,12774,99.3388745,48787,45425,21892142,29912,23413,20245,0,34048,5,3,19072,0,19.1875836,577783,,844,8026,11306,17250,25.4,350412,279,2856770,48370
CA,6,71,41,0,16,33439,328500,38988,39317,0,0,20270,292909,0,106645,5338,5017,21418,99.3388745,125681,35005,21892142,229,21354,58578,0,48401,0,0,507,0,2500.12664,572529,,1193,8634,11661,15306,25.4,565887,0,2856770,61101
CA,6,71,42,0,16,41113,328500,63399,41791,0,0,22582,263898,0,114113,3683,6700,13482,99.3388745,86781,40215,21892142,209,24598,42073,0,36818,0,0,1802,0,2734.90431,571595,,151,8917,13826,20618,25.4,568991,0,2856770,54331
CA,6,71,43,0,16,48162,328500,33605,39617,0,0,27863,270568,0,102373,5971,5768,16146,99.3388745,79712,37139,21892142,747,22698,48296,0,41812,1,1,3851,0,764.511379,571090,,2019,8673,9843,16411,25.4,439932,0,2856770,52444
CA,6,71,44,0,16,111931,328500,29883,28369,0,0,24157,240511,0,97891,14745,5641,16193,99.3388745,95784,29600,21892142,6359,17650,22023,0,33293,0,0,2098,0,89.9265608,595896,,2322,6309,8140,16998,25.4,413244,0,2856770,51647
CA,6,71,45,0,16,57621,328500,7080,31509,0,1,21749,338389,0,72865,3533,5348,29384,99.3388745,109676,33376,21892142,91,19922,67397,0,51028,1,0,1316,0,6274.62637,570991,,0,8106,12779,13948,25.4,570991,0,2856770,71968
CA,6,71,46,0,16,38992,328500,14177,62887,0,0,20838,298519,0,105537,9064,4917,15434,99.3388745,244228,23615,21892142,62,14019,77544,0,36344,0,0,2973,0,9209.08065,570963,,0,4679,9107,21492,25.4,570963,0,2856770,57937
CA,6,71,47,0,16,61461,328500,10395,22555,0,1,18986,323619,0,75829,2494,5386,36582,99.3388745,101166,34958,21892142,304,19771,55389,0,59936,2,2,6000,0,1880.27961,571605,,46,9801,9652,10812,25.4,568981,0,2856770,65545
CA,6,71,48,0,16,60108,328500,23062,24946,0,1,24644,280497,0,82027,9119,10038,25336,99.3388745,81397,32631,21892142,1517,16441,39238,0,46683,2,1,30948,1,377.858273,577452,,6333,6152,8014,12436,25.4,485425,308,2856770,58041
CA,6,71,49,0,16,71244,328500,30024,19415,1,0,15252,300179,0,52060,3465,16055,26234,99.3388745,80319,48556,21892142,118,19927,33304,0,40466,13,4,45191,0,4859.63559,573437,,0,12574,9186,14314,25.4,573437,0,2856770,62206
CA,6,71,50,0,16,48002,328500,82718,31680,1,0,15523,246477,0,114295,4558,21665,13178,99.3388745,172685,47215,21892142,135,18085,34099,0,30213,1,1,20178,0,4246.25185,573244,,55,7465,8563,19639,25.4,568366,0,2856770,51502
CA,6,71,51,0,16,65052,328500,9333,24025,1,0,23248,306434,0,83068,6348,11479,28263,99.3388745,89717,36608,21892142,495,16964,45790,0,50405,0,0,8995,0,1157.27273,572850,,1425,8165,8320,13278,25.4,553964,0,2856770,61953
CA,6,71,52,0,16,62892,328500,17517,28650,1,0,24815,275286,0,99575,8328,12333,17774,99.3388745,71362,45553,21892142,6434,23664,29372,0,37396,2,1,7557,0,89.1133043,576852,,1716,9556,8835,17812,25.4,397759,0,2856770,58033
